lg_country_code,report_date,sessions,transactions,successful_orders,gmv_eur,healthy_ns,total_availability_sessions
hk,2025-07-16,342535,79814,65907,1287314.27,309565,315950
my,2025-11-30,1088597,229155,243865,1565748.45,911489,997141
la,2025-11-30,34253,9852,10933,46077.63,29337,31787
cz,2025-08-22,125802,39953,38927,693729.72,89815,97589
hk,2025-08-22,327812,81497,67031,1388131.65,294784,304033
pk,2025-07-01,908423,205972,214555,869122.07,745544,798900
my,2025-09-18,967541,202952,228940,1367307.11,845676,879159
la,2026-03-23,33416,8261,9114,36924.49,25063,30374
tw,2026-05-22,1256610,415083,442089,3537239.51,1161666,1173648
no,2026-06-03,77805,19160,18003,699829.31,66628,73586
t3,2025-10-27,1742321,556984,330450,3108140.56,1553733,1615279
hu,2025-08-26,105721,32856,29368,505984.97,80909,87121
pk,2025-07-30,906151,223624,223027,924049.72,740639,789140
my,2025-12-01,1014453,221082,241813,1467160.3,885426,926692
pk,2026-04-01,1077936,287854,284584,1275216.02,936963,976451
bd,2026-03-20,280697,49345,57864,342562.76,180743,251386
no,2025-07-05,83947,20953,20052,730019.67,68230,73502
t3,2025-09-07,1901525,616762,377718,3888794.84,1671716,1798886
la,2026-02-13,32164,9640,10621,44658.13,27097,29666
hk,2025-08-25,318618,77226,62902,1238268.18,284946,294561
mm,2026-02-14,136259,33013,36592,239580.13,116670,125504
tw,2025-07-04,1559779,448505,489841,4286795.42,1409479,1447357
sg,2025-10-26,283105,84032,85790,1766661.33,263129,264328
tw,2026-06-05,1352284,420311,451972,3712310.35,1221366,1282692
bd,2025-11-07,311668,72409,78392,356876.77,235912,278553
my,2025-07-07,1006920,200654,236333,1379114.99,863557,897502
pk,2026-04-13,1048385,270335,268529,1217566.07,906397,941413
tw,2026-01-04,1504938,501975,541348,4488994.38,1414753,1441914
pk,2025-10-11,981073,230348,229086,972929.27,727251,885891
t3,2026-05-23,1995811,615354,374171,3936390.67,1863401,1916692
my,2026-03-07,851030,181691,203123,1397310.72,741823,783234
hu,2025-12-17,136351,44143,39285,718281.25,113255,122802
t3,2026-01-18,2021895,568085,304197,3214305.9,1756273,1935660
tw,2026-05-20,1210588,385085,416044,3276326.68,1131536,1146779
my,2025-07-31,1024065,220065,249122,1527381.67,877378,908737
hu,2026-01-30,132562,42525,37282,716819.16,110465,120033
bd,2026-01-19,256099,60171,64791,280423.56,216375,233855
pk,2025-08-27,905246,220723,222170,924753.81,742026,798396
ph,2026-03-08,1343204,371613,406957,2654590.02,1158933,1237490
kh,2026-04-29,124179,28981,30932,183422.04,111209,114578
no,2025-11-09,115778,31527,29455,1067481.95,98987,106108
la,2026-06-17,34473,10594,11771,51841.41,29121,32563
bd,2025-12-16,283376,67298,74051,333500.22,231972,256735
kh,2025-10-17,151927,27156,29808,172764.66,120373,124527
tw,2026-05-07,1168414,386784,417376,3316492,1101010,1110720
no,2026-03-04,79030,16430,15632,591808.25,69675,72995
mm,2026-03-19,133750,29783,37207,244244.63,111396,118220
pk,2026-03-19,986349,165433,181232,951614.65,675550,887559
pk,2025-08-16,999171,244594,243474,1029190.04,828158,872676
mm,2026-05-21,136384,34435,37562,252162.65,114482,123545
no,2026-02-23,71361,15835,15212,568630.15,61283,65232
at,2025-12-30,106396,37129,31029,1004710.38,87031,95782
pk,2025-12-19,939311,256519,257071,1122431.86,811628,845790
ph,2026-06-28,1376532,374253,412088,2690626.74,1196952,1275451
sg,2026-06-28,293351,90676,91008,1986355.21,274704,275565
se,2025-10-02,167406,46304,39233,1144061.23,127907,145847
pk,2026-06-14,1176800,308162,305165,1479067.47,1024704,1063642
la,2026-06-15,35467,11000,12213,52608.73,29351,33192
ph,2026-03-05,1240577,341320,372787,2348302.7,1067236,1121494
bd,2026-03-31,307242,70483,76909,335123.1,246684,275606
se,2026-01-17,217516,63906,54367,1770946.74,181582,202110
mm,2026-01-17,116436,31211,34546,219542.29,101889,107092
cz,2026-04-26,124425,38252,37406,767516.58,99624,111322
my,2026-01-03,883701,207824,231820,1480495.05,791335,821426
bd,2026-06-11,315945,73396,78381,369428.96,244217,287831
no,2025-10-05,113605,30903,28940,1020176.92,95291,104595
pk,2025-11-26,899948,239881,234580,999895.34,798008,824259
kh,2026-02-10,107589,25506,27569,163582.46,96165,98819
ph,2026-03-16,1204154,280510,348970,2163415.98,1036731,1093760
t3,2026-02-21,1824263,522038,327067,3412753.47,1687714,1747415
pk,2025-11-11,915969,234892,234577,979225.54,794453,822264
se,2025-10-04,246070,72953,59642,1872290.29,191801,218664
cz,2026-03-03,123222,35767,35491,635127.12,72025,77894
kh,2026-03-17,136199,31019,35143,186726.17,118112,124033
ph,2025-08-03,1273345,336691,374667,2503142.32,1039620,1146176
se,2025-08-03,192629,58411,47061,1393458.42,135014,166885
tw,2025-11-25,1321095,410321,435877,3452862.99,1223226,1241153
ph,2025-09-23,1309914,308027,348732,2220429.39,1032405,1213418
tw,2026-03-18,1272376,369598,421758,3284995.25,1144297,1159414
bd,2025-08-02,301167,62932,67535,301100.24,216301,266160
hu,2025-08-02,110831,31757,27590,529599.03,84700,91865
pk,2026-01-01,1070647,259266,253860,1161953.51,873747,977572
no,2025-12-06,102594,27072,25804,968211.48,91386,95329
my,2025-11-10,1002512,211662,237353,1373193.14,879184,913610
at,2025-08-06,96700,33330,28143,830611.36,76164,82609
bd,2026-05-02,324922,69862,74259,352419.2,252401,295792
at,2025-10-07,95894,34443,29324,863120.63,78137,84057
hu,2025-09-12,132156,43401,39087,710320.57,103186,110696
cz,2026-01-12,139656,39264,37971,702526.35,110266,123794
t3,2025-12-09,1734216,563914,348022,3356177.99,1598189,1656899
se,2025-09-11,174073,48389,40547,1182926.34,132068,151304
la,2026-04-22,35351,8802,9529,37921.98,26559,33037
bd,2025-12-08,271316,65084,68182,287230.01,223349,246960
sg,2026-03-26,248022,72792,68867,1365573.02,227327,228739
sg,2026-06-21,293801,88912,89448,1980099.4,18793,18876
cz,2026-05-14,140361,44264,43514,815902.08,117439,125294
se,2026-05-14,199052,57260,50506,1502427.63,160247,185750
hk,2026-05-14,325649,83160,65549,1313305.95,300000,308069
la,2025-11-02,38614,10160,11238,49209.32,31587,35434
tw,2025-11-02,1725216,491594,527533,4526741.48,1532369,1619005
pk,2026-01-13,968160,247411,243164,1056584.54,826363,897665
kh,2025-07-27,128744,25617,27938,174984.11,101614,110358
hu,2025-10-20,106561,33219,30079,515944.94,87467,95502
la,2025-09-29,36290,8527,9359,37279.67,27455,32599
hk,2025-09-29,300401,75673,59335,1173530.63,271787,280664
sg,2025-10-09,220850,63841,61754,1189380.76,202160,202991
kh,2025-11-01,151163,26263,29138,184480.45,121619,125979
sg,2025-12-22,201647,58352,57211,1108355.37,185447,186154
mm,2025-08-07,127483,32417,35800,209056.83,105351,111373
t3,2026-02-06,1896946,609081,361094,3624118.28,1648502,1699435
kh,2025-09-14,141326,26901,29631,191682.34,117195,123638
bd,2025-07-25,309542,67083,72490,328282.56,219646,274512
at,2025-07-26,101343,33854,28417,893734.77,81704,87988
hu,2025-12-11,140115,47084,42031,759172.33,115724,127437
my,2026-05-12,987488,218616,253440,1532735.88,889190,916152
bd,2025-12-25,278011,68044,73946,346511.19,229141,250882
hu,2025-09-03,119784,36438,32986,572096.12,93125,100007
hk,2025-09-03,333184,80810,63939,1251699.92,303424,312027
mm,2026-02-03,119293,31252,34583,213468.67,106454,111102
ph,2026-05-26,1373836,355925,389484,2417393.48,1178713,1265052
sg,2025-10-22,203406,59965,57524,1105112.31,184989,186718
my,2026-05-27,1000918,174421,195609,1401227.79,747363,922892
la,2025-08-21,34294,9494,10538,40362.49,28812,31011
pk,2025-07-14,894326,194050,202938,816379.81,689496,780295
t3,2026-04-06,1889361,603243,368944,3694449.82,1758599,1809398
se,2026-04-06,187237,51902,46571,1408769.96,140066,171663
my,2026-02-04,856281,204924,231754,1432640.9,777170,804647
pk,2026-02-04,993097,267359,262401,1163752.51,874562,911331
sg,2026-03-25,243117,70866,66925,1317896.06,223668,224725
bd,2025-12-10,269089,66675,69739,296608.08,224015,247284
bd,2025-12-24,261636,62930,67650,306699.72,219432,235374
my,2026-02-18,925973,204983,233350,1700588.46,808238,863657
tw,2026-02-18,1394241,292889,311827,2841108.74,1140720,1345621
ph,2025-07-13,1247693,319942,364078,2518207.36,1050454,1122458
bd,2025-10-21,281240,63355,69369,290527.51,227960,255336
cz,2026-03-10,128014,37899,37945,686300.76,89826,96140
mm,2026-03-10,134567,34442,37931,243858.18,115605,122033
hk,2026-03-10,308942,81632,64670,1255160.07,283859,290692
hk,2025-07-17,342407,82142,67715,1332964.61,308995,315201
tw,2026-04-03,1437705,450377,492520,4114751.84,1333166,1369905
sg,2026-04-03,295418,90685,91617,1917958.52,274465,276576
pk,2025-12-27,955351,257088,258250,1164657.29,821884,854373
no,2026-01-09,90418,21014,20681,792958.47,79704,83895
kh,2025-09-05,145324,26492,29032,175323.09,122081,126701
sg,2025-11-06,222108,66293,63343,1224258.98,205338,205888
hu,2025-09-04,123483,32397,29623,513415.99,95413,102634
pk,2025-09-04,914644,228969,234349,985400.58,772459,811434
no,2026-05-11,69557,16584,15657,614433.5,60720,64083
t3,2026-04-30,1971416,635806,407171,3946425.4,1848514,1898531
bd,2026-04-30,315645,72267,76899,360798.27,255456,283360
sg,2025-08-22,231332,67936,67026,1338670.57,207148,208459
ph,2025-09-18,1236342,322222,364719,2312695.64,1073772,1139470
la,2026-04-19,37211,9765,10829,45751.13,25278,34677
sg,2026-06-07,295868,93689,93613,1967792.95,275663,276344
ph,2026-02-02,1150373,305050,333897,2043554.92,1008119,1078451
at,2025-07-30,97805,33888,28508,847199.53,77000,83451
bd,2026-02-27,263095,54375,58894,294145.83,206514,243022
ph,2026-02-27,1315669,367666,402649,2651253.11,1169275,1231440
la,2025-12-29,29351,9302,10217,41236.12,25221,27074
tw,2025-12-29,1203276,399509,426612,3290504.49,1127080,1143426
my,2026-03-09,778107,170563,190833,1260182.09,675065,714185
bd,2025-09-07,268495,60921,67095,282658.63,212553,239424
se,2026-04-02,191482,52198,46921,1429802.45,154940,175174
hk,2026-04-02,322303,85767,70883,1416958.66,297072,304144
se,2025-11-08,224928,67221,56039,1686984.4,174340,196179
mm,2025-08-25,124844,29950,33281,194874.09,102981,107767
sg,2025-10-12,268695,82390,84563,1731542.4,247459,248563
tw,2025-09-06,1546295,467817,512080,4354942.14,1417451,1455110
t3,2025-12-14,1852853,603685,374070,3855610.6,1684669,1764342
hu,2025-10-26,110513,32110,28138,537568.53,79115,99285
bd,2026-06-30,322410,72021,76972,358582.55,253189,291390
tw,2025-10-01,1323844,399633,432773,3423870.63,1220825,1242253
tw,2026-02-25,1241403,382602,413173,3240123.57,1147357,1183097
no,2025-10-11,97847,25040,23497,876105.3,84498,89505
bd,2026-05-23,306601,71829,77661,361521.4,251976,275432
la,2025-10-29,34598,9438,10345,40407.58,29761,31695
la,2025-09-20,34614,9865,10991,45350.75,29159,30915
no,2026-04-28,66184,15675,14964,587509.96,58282,61484
at,2026-04-28,93937,32612,28978,863541.6,79681,84249
hu,2025-10-15,124091,39296,35603,615165.23,103776,110678
at,2026-05-09,103684,37593,31236,988378.63,89758,94599
cz,2026-03-06,144778,44703,43887,837088.95,112754,120244
t3,2026-01-19,1936727,440749,176433,1644917.05,1273343,1857795
la,2026-01-19,31182,9473,10369,41892.23,26468,28897
hu,2026-01-19,110584,31788,27891,488120.9,87200,99814
hu,2026-01-05,122919,32390,26565,493643.3,84760,112274
t3,2026-04-14,1865473,627644,409557,3832927.35,1733089,1775875
bd,2026-06-17,307048,70859,76110,350280.88,244256,279764
kh,2025-07-06,134457,27135,30199,181709.64,113640,118131
la,2025-07-06,37578,8884,9923,41086.52,28550,31799
ph,2025-09-08,1219943,299125,334944,2132562.07,1018420,1106670
ph,2025-11-20,1290729,342682,379649,2351515.09,1126779,1194853
se,2026-06-13,209157,62677,53971,1649222.3,166918,197694
t3,2026-06-13,2153372,654910,383136,4031589.27,2008551,2076001
sg,2025-08-01,233631,66625,65967,1323605.76,207377,208338
se,2026-03-19,166833,39298,39709,1208352.41,134254,149799
at,2026-03-19,100174,30671,30369,910448.67,82398,87772
pk,2026-03-30,1153335,261494,254572,1115349.41,839532,1024661
cz,2025-08-16,121039,36847,35223,684465.66,85371,96587
bd,2026-02-23,246016,46356,50174,232106.68,191018,222470
kh,2026-01-02,104520,25406,27451,163829.16,92821,96788
ph,2025-11-23,1357670,358337,399166,2610803.73,1101302,1250610
my,2025-11-23,1072392,213964,228394,1490909.11,881675,985394
hk,2026-04-12,384994,112725,100677,2059463.47,357086,366467
cz,2025-12-04,132904,42372,41750,748879.36,109790,116980
hk,2025-10-16,300179,77444,60672,1230574.54,270983,279095
cz,2026-06-15,130671,39601,38669,712348.67,104638,117980
at,2026-06-15,97103,34408,29724,894555.94,77254,88744
sg,2026-04-11,299586,89883,89620,1860307.79,275951,282119
pk,2026-04-26,1180231,308478,308777,1446177.73,1015091,1062819
hk,2025-09-21,442729,106285,93679,2026343.88,375801,420031
se,2025-12-18,168450,51767,43795,1305933.89,137700,154101
pk,2026-01-03,1003273,267225,268988,1210033.29,865469,908663
la,2026-06-11,36049,10550,11698,51608.17,29579,33835
hk,2026-06-11,308788,82164,64612,1328174.57,283667,288700
pk,2025-08-18,914141,220075,220132,891606.74,750725,792947
hk,2025-08-18,330534,79042,64422,1264922.54,290340,305738
t3,2025-10-05,1961553,625529,377841,3909396.28,1758745,1860890
my,2026-03-02,801524,163739,180396,1197895.89,678561,740909
bd,2026-01-28,258854,61304,65911,279484.02,220984,238062
tw,2025-11-26,1284919,402680,429582,3367438.65,1196425,1214065
la,2025-09-25,33258,9437,10464,40349.32,29003,30452
tw,2026-03-16,1245832,369718,420136,3281587.03,1140278,1157098
hk,2025-08-04,341687,79449,64483,1231849.08,306731,314703
t3,2025-10-30,1723171,573740,353163,3276001.29,1533279,1586710
hu,2026-06-26,131613,43269,39715,819550.05,107780,119447
kh,2026-06-26,108796,25735,27949,168418.44,97289,99966
hu,2026-05-05,125282,41255,38216,747563.33,106826,114266
my,2025-12-07,945000,229092,251156,1589495.98,840167,889381
la,2026-05-30,36626,10929,12290,55484.77,29779,34358
se,2026-03-03,148539,40069,35813,1082817.02,74238,88437
cz,2025-10-19,124427,39237,38752,752317.86,88668,102701
la,2025-10-19,36716,10924,12197,50230.46,31082,34008
kh,2025-07-22,139004,26870,29304,162756.1,118476,122234
sg,2025-07-22,212951,57414,57404,1082931.24,187478,188382
no,2026-06-12,99606,26226,24618,1028857.29,85426,94872
pk,2025-11-25,907926,233655,230820,980450.21,789288,817078
at,2025-09-23,88382,31120,26627,781692.96,71888,77211
la,2026-03-18,35234,7255,8442,34063.35,24111,31111
se,2026-04-10,199797,57948,52226,1622314.57,167321,183764
no,2025-12-31,63197,11371,10934,431866.41,45305,56625
la,2025-11-10,35683,9502,10487,42874.67,29813,32345
ph,2025-12-21,1258051,350058,388894,2659293.28,1032905,1156007
kh,2026-05-02,113067,26514,28980,184063.19,100278,103646
pk,2026-03-14,900446,190838,230804,1106086.95,720317,798459
bd,2026-03-14,275110,47860,61529,313729.93,204960,244289
ph,2025-11-14,1359043,360049,400135,2606764.23,1130086,1244065
ph,2025-10-07,1217748,309251,345330,2129268.4,1043317,1120173
no,2025-10-07,73580,15697,14894,526812.66,61503,66220
bd,2026-02-08,256547,60190,65080,282440.62,216855,234998
my,2025-11-28,1136899,221583,235450,1528380.42,898948,1052534
tw,2025-07-10,1548390,440455,481322,4171578.22,1389469,1432783
my,2025-12-20,874823,215929,243608,1573836.82,781629,812155
t3,2026-05-17,2196283,656473,392814,4116153.3,1855978,1925578
cz,2025-08-30,115428,35237,34284,649625.89,83939,92786
la,2026-06-24,36470,11339,12562,54726.55,30588,33754
se,2026-03-15,194231,50603,51375,1589765.69,148947,178337
la,2026-01-27,30235,9106,9936,40343.87,26312,28331
hk,2026-01-27,304141,76702,61984,1199350.46,284622,290106
bd,2026-02-09,265088,61497,66151,295344.88,223864,242555
no,2025-07-23,69336,15752,14964,532072.83,55747,60948
t3,2025-08-19,1788111,600303,379746,3500662.9,1601417,1681747
la,2026-05-14,35599,9479,10444,45550.46,29975,32590
my,2026-05-29,1060907,215187,244884,1660862.39,874778,976950
my,2026-04-08,947480,213735,239815,1472798.72,826665,878452
at,2025-09-15,89899,31591,27106,794019.1,71922,77947
no,2025-10-09,76187,17176,16397,579805.46,64749,68992
